,x,y,curvature,dist
0,-0.0008849199639284905,-0.5886135224093656,0.03866845622462508,0.0
1,0.04781670298950287,-0.583169467741994,0.03853176423839098,0.04900495698926307
2,0.09652967777315104,-0.5778172547118472,0.038382590721942556,0.049006123052047434
3,0.1452542385928837,-0.5725565050232201,0.03822065889673033,0.0490077372907811
4,0.19399066112079164,-0.5673868082041883,0.03804569369093555,0.049009842338243445
5,0.2427392629503935,-0.5623077212616435,0.037857422153740855,0.04901248110951935
6,0.291500404053538,-0.5573187683350408,0.037655573884743845,0.04901569680199013
7,0.34027448723900555,-0.5524194403488603,0.03743988147835205,0.049019532895561956
8,0.38906195861280835,-0.5476091946637792,0.03721008098295014,0.049024033153143035
9,0.4378633080401882,-0.5428874547265587,0.03696591237458144,0.049029241621383154
10,0.48664953348959833,-0.5382563865735852,0.03670728107567775,0.049005536277426445
11,0.5354509450030093,-0.5337124430842937,0.03643379227506869,0.04901250032527573
12,0.5842681632394754,-0.5292549464557403,0.036145200967798316,0.04902030265655573
13,0.6331018544195465,-0.5248831836052642,0.035841268090937455,0.04902898841187074
14,0.6819235781911653,-0.5205989383758871,0.03552195638834185,0.049009340632349824
15,0.7307634320393457,-0.5163987758210373,0.03518686250439798,0.04902012535070447
16,0.7795932505005421,-0.512284293493008,0.03483598157646106,0.04900285844500361
17,0.8284430323612374,-0.5082521066103745,0.0344689088444449,0.049015912915031996
18,0.8772848839598342,-0.5043036289269803,0.03408567427216045,0.04900119328746609
19,0.9261487117269437,-0.500435520866721,0.033685873666165815,0.04901669025974301
20,0.975006890610338,-0.49664901495760827,0.03326957426300974,0.04900468621266236
21,1.0238892411547424,-0.49294081177253907,0.032836374506511536,0.049022800466801145
22,1.0727684036179472,-0.4893119652672271,0.03238638134742885,0.049013682274069985
23,1.1216457601714247,-0.4857612487493139,0.031919473863824384,0.049006158505297555
24,1.1705227357751284,-0.48228740257798813,0.0314355434637579,0.049000268890967175
25,1.2194289952660997,-0.4788871951161242,0.030934200431709174,0.04902431670285607
26,1.2683376950882765,-0.4755613346703031,0.030415638311130682,0.0490216509921981
27,1.3172503946798986,-0.4723084580174351,0.029879788793870685,0.04902074446455333
28,1.3661686976816771,-0.4691271679144217,0.029326598085954867,0.04902163782752826
29,1.415094252279251,-0.4660160328386332,0.02875602743499464,0.049024372042280884
30,1.4640009370631162,-0.4629752966568973,0.028168392766435027,0.04900112134508023
31,1.5129184493065058,-0.4600016636175348,0.027563365652081253,0.04900781057683518
32,1.561848568608863,-0.4570936011468927,0.026940955369020216,0.049016460523747224
33,1.6107931204386514,-0.4542495413883557,0.026301188223135978,0.049027113210232696
34,1.6597264422228721,-0.4514694277615478,0.025644482337617448,0.049012233295536056
35,1.7086781192879221,-0.44874999837569646,0.02497054238096386,0.04902715557388143
36,1.757622709356838,-0.44609105358359835,0.02427983965834653,0.04901676126001839
37,1.806562410493442,-0.44349077855682373,0.02357249803823905,0.04900873164605448
38,1.855499459171495,-0.44094732902468015,0.022848659886134135,0.04900310060435671
39,1.904463348086416,-0.43845746200589886,0.022108070178811386,0.04902715426622196
40,1.9534290562043761,-0.43602070683537003,0.021351309325129672,0.0490263026064007
41,2.002371839590672,-0.4336364326258566,0.020579009302513895,0.04900082457575639
42,2.051321308189833,-0.4313013065320697,0.019790972983444496,0.04900513534328934
43,2.100279893932529,-0.4290133344899345,0.01898743913622029,0.04901201826073381
44,2.1492500685167304,-0.42677049196447375,0.018168666408162767,0.04902150896699519
45,2.198207454394406,-0.4245719196806255,0.017335395103623204,0.049006727620429305
46,2.247181590852846,-0.4224142867718087,0.01648747622551293,0.04902164237986225
47,2.296148272533482,-0.4202966282995601,0.015625703409243647,0.04901245139980064
48,2.345110264725306,-0.41821673421627287,0.0147504346920558,0.049006148989590416
49,2.3940703635443445,-0.41617237092483006,0.013862046937640331,0.04900276214293848
50,2.4430313960631005,-0.4141612811805101,0.01296093571925621,0.04900231818253485
51,2.491996220440206,-0.4121811839927324,0.012047515169749386,0.0490048447722654
52,2.540967726050293,-0.41022977452664083,0.011122217797946674,0.04901036992946631
53,2.589948833614065,-0.4083047240045277,0.010185494270955688,0.04901892203717352
54,2.6389159868362713,-0.4064047019702652,0.009238328713423295,0.04900400165718822
55,2.6878987454930385,-0.40452628372216604,0.008280701135502975,0.04901876274185121
56,2.736873677108401,-0.40266807042355796,0.007313638778179726,0.049010171223864904
57,2.7858439144998974,-0.4008276106078724,0.006337673442390456,0.049004810401762265
58,2.8348124982941934,-0.3990025604322147,0.006107072521061404,0.0490025816356919
59,2.8837809751096475,-0.39719221314388514,0.006318351649621876,0.0490019293388539
60,2.9327498237051834,-0.39539703415186284,0.006530664000686881,0.04900174283008639
61,2.9817195037585966,-0.39361751678104256,0.006743992840804378,0.0490020024754775
62,3.0306904788246185,-0.3918541572434142,0.006958321014916573,0.049002712534877924
63,3.0796632163458293,-0.39010745464566354,0.007173630944347068,0.04900387729849951
64,3.128638187663582,-0.3883779109967813,0.00738990462491248,0.04900550108720543
65,3.177615868028936,-0.3866660312156812,0.007607123625162597,0.04900758825279747
66,3.226596736613603,-0.38497232313882507,0.007825269084753254,0.049010143178305376
67,3.275581276520904,-0.38329729752785696,0.008044321712956026,0.049013170278276876
68,3.3245699747967397,-0.3816414680772449,0.008264261787308946,0.049016673999062774
69,3.3735633224405737,-0.38000535142193137,0.008485069152412464,0.049020658819107776
70,3.422561814416422,-0.3783894671449913,0.00870672321887483,0.049025129249230116
71,3.4715399097401622,-0.37679517975292987,0.008929084532382314,0.049004036301409794
